Name	rcount_Tb142_quant	rcount_Tb143_quant	rcount_Tb144_quant	rcount_Tb145_quant	rcount_Tb146_quant	rcount_Tb147_quant
MSTRG.1257.3	0.000	4.817	0.000	0.000	0.000	0.000
MSTRG.1257.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1257.4	0.000	0.000	0.000	0.000	0.000	10.402
KWMTBOMO00591.mrna1	0.000	0.000	272.959	0.000	0.000	0.000
MSTRG.1259.1	259.813	511.565	339.010	207.580	131.553	185.230
MSTRG.1259.2	3.908	7.074	0.000	0.000	0.000	6.503
MSTRG.1259.3	93.596	109.673	115.238	95.756	62.766	103.337
MSTRG.1259.4	767.187	1023.091	821.021	512.747	297.983	444.139
MSTRG.1259.5	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00592.mrna1	0.000	1.519	0.000	0.000	1.697	0.000
MSTRG.1260.1	0.000	1.000	0.000	0.000	0.000	0.000
