Name	rcount_Tb148_quant	rcount_Tb149_quant	rcount_Tb150_quant	rcount_Tb151_quant	rcount_Tb152_quant	rcount_Tb153_quant
MSTRG.81.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.82.1	0.000	1.000	1.000	0.000	2.000	0.000
KWMTBOMO16546.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16547.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16548.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.85.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16549.mrna1	36.011	15.509	37.046	33.690	31.975	23.921
MSTRG.87.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16550.mrna1	4.005	3.000	7.000	1.000	3.000	2.000
KWMTBOMO16551.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16543.mrna1	100.673	112.000	113.000	102.987	108.000	117.051
MSTRG.89.1	0.000	2.000	1.000	0.000	0.000	1.000
KWMTBOMO16544.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.89.3	0.000	0.000	2.000	0.000	1.000	1.000
MSTRG.90.1	1.000	0.000	2.000	2.000	0.000	0.000
KWMTBOMO16552.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.2	0.000	0.000	0.000	0.000	0.000	4.713
MSTRG.91.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.5	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16553.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16554.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.94.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.95.1	270.803	265.743	233.875	199.180	314.831	216.333
MSTRG.96.1	32.000	26.000	16.000	36.000	29.000	40.000
MSTRG.92.1	2.024	2.168	1.075	3.078	6.468	2.926
KWMTBOMO16558.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.97.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16559.mrna1	0.000	1.153	0.000	0.000	0.000	2.894
KWMTBOMO16560.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.100.1	24.030	34.420	33.092	25.942	35.652	32.058
MSTRG.104.1	3.036	9.632	5.079	6.241	3.112	0.000
MSTRG.104.2	6.616	12.726	20.617	9.170	17.059	12.297
KWMTBOMO16561.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.104.4	0.000	0.000	4.469	4.085	1.637	1.715
MSTRG.104.5	15.708	1.949	4.805	11.649	9.334	19.946
MSTRG.101.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.105.1	0.000	6.000	3.000	0.000	0.000	2.086
KWMTBOMO16562.mrna1	0.000	0.000	0.000	0.000	1.000	2.914
MSTRG.105.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.105.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.105.5	0.000	0.000	4.609	0.000	0.000	2.000
MSTRG.102.1	0.000	0.000	0.000	0.958	0.000	0.000
MSTRG.103.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16563.mrna1	9.220	13.696	42.924	26.225	20.829	17.883
MSTRG.108.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16564.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.107.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16565.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.110.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16566.mrna1	159.503	59.420	0.000	100.833	43.497	0.000
KWMTBOMO16567.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16569.mrna1	0.000	0.000	0.000	1.861	0.000	0.000
KWMTBOMO16570.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
