Name	rcount_Tb160_quant	rcount_Tb161_quant	rcount_Tb162_quant	rcount_Tb163_quant	rcount_Tb164_quant	rcount_Tb165_quant
MSTRG.64.8	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.9	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.10	0.000	0.000	10.338	28.638	40.568	22.218
KWMTBOMO16527.mrna1	13.333	19.197	26.980	14.677	14.100	14.828
MSTRG.67.2	15.414	16.766	11.399	38.809	19.161	25.810
MSTRG.68.1	14.773	4.980	30.203	0.000	0.000	11.401
MSTRG.68.2	0.000	19.345	0.000	22.924	0.000	0.000
KWMTBOMO16528.mrna1	0.000	0.000	0.000	0.000	41.373	52.488
KWMTBOMO16529.mrna1	10.000	5.000	13.000	16.000	13.537	12.938
KWMTBOMO16530.mrna1	1.496	0.000	0.000	3.476	0.000	0.000
KWMTBOMO16531.mrna1	3.634	5.300	4.881	5.546	3.439	14.131
KWMTBOMO16532.mrna1	46.875	64.943	68.123	59.926	92.245	110.896
KWMTBOMO16533.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.73.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.74.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16534.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.74.3	0.000	0.000	4.376	1.659	4.280	1.859
MSTRG.74.4	0.000	0.000	0.000	0.000	1.349	0.000
MSTRG.75.1	83.771	112.145	118.940	44.751	38.074	32.099
KWMTBOMO16535.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.71.1	0.000	0.000	1.569	0.000	0.000	0.000
KWMTBOMO16536.mrna1	1.038	1.168	0.000	11.365	5.833	6.608
KWMTBOMO16537.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.76.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16538.mrna1	17.782	27.282	49.004	58.361	121.175	402.906
KWMTBOMO16539.mrna1	0.000	0.000	0.000	0.000	1.329	0.000
KWMTBOMO16542.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.78.1	0.000	0.000	0.000	39.162	0.000	57.615
MSTRG.80.1	1.648	3.105	3.136	3.872	1.327	7.881
KWMTBOMO16540.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.79.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16541.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16545.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.81.1	0.000	8.701	0.000	3.407	0.000	0.000
MSTRG.82.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16546.mrna1	0.000	0.000	0.000	1.000	0.000	0.000
KWMTBOMO16547.mrna1	0.000	0.000	0.000	10.324	6.992	0.000
KWMTBOMO16548.mrna1	5.643	0.000	6.369	0.000	0.000	0.000
MSTRG.85.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16549.mrna1	1.000	0.000	1.000	0.000	1.214	0.000
MSTRG.87.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16550.mrna1	0.000	0.000	0.000	0.000	1.000	0.000
KWMTBOMO16551.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16543.mrna1	93.000	117.003	111.000	135.962	217.005	340.367
MSTRG.89.1	206.000	240.871	184.000	804.675	492.040	465.307
KWMTBOMO16544.mrna1	9.403	0.000	0.000	9.601	0.000	83.799
MSTRG.89.3	131.634	140.000	261.000	210.399	256.001	728.484
MSTRG.90.1	2.000	1.000	1.000	0.000	1.000	0.000
KWMTBOMO16552.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.91.4	0.000	0.000	0.000	0.000	0.000	0.000
