Name	rcount_Tb166_quant	rcount_Tb167_quant	rcount_Tb168_quant	rcount_Tb169_quant	rcount_Tb170_quant	rcount_Tb171_quant
MSTRG.20518.1	72.020	75.039	113.842	130.319	103.484	92.189
KWMTBOMO04180.mrna1	0.000	13.961	12.169	70.072	62.756	52.811
MSTRG.20519.1	470.522	531.433	453.789	1634.230	2058.825	1328.598
KWMTBOMO04181.mrna1	297.031	471.195	366.842	1057.746	1386.734	845.604
MSTRG.20516.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04182.mrna1	0.000	0.000	0.000	41.160	39.112	22.698
MSTRG.20517.2	0.000	0.000	0.000	3.840	9.888	7.302
KWMTBOMO04183.mrna1	405.023	515.455	472.407	522.885	570.019	434.305
MSTRG.20520.3	238.193	292.802	278.635	550.183	0.000	438.818
MSTRG.20520.2	0.000	0.000	0.000	0.000	540.264	0.000
MSTRG.20520.1	6.549	0.000	3.124	13.370	8.573	9.510
MSTRG.20521.1	104.004	56.011	111.695	121.469	100.225	70.700
MSTRG.20521.2	833.211	997.132	845.505	486.697	451.554	230.266
MSTRG.20521.3	563.966	501.777	710.172	780.092	830.201	706.985
KWMTBOMO04184.mrna1	198.862	346.107	352.005	261.944	189.201	74.044
MSTRG.20521.5	199.700	254.701	295.005	214.383	190.691	171.300
MSTRG.20521.6	53.933	24.899	45.529	9.596	6.717	5.379
MSTRG.20526.1	0.000	0.000	9.748	0.000	35.816	0.000
MSTRG.20526.2	18.400	8.810	0.000	10.256	0.000	5.232
MSTRG.20526.3	69.598	74.795	160.180	147.066	173.650	106.875
MSTRG.20526.4	0.000	0.000	0.000	14.328	14.160	3.688
MSTRG.20526.5	0.000	6.904	0.000	3.519	0.000	6.342
KWMTBOMO04185.mrna1	4.235	4.012	6.288	1.954	0.000	3.545
MSTRG.20527.1	119.531	94.876	150.145	17.744	47.480	9.301
MSTRG.20527.2	40.507	36.996	30.301	32.633	27.684	30.086
MSTRG.20527.3	10.243	76.474	30.944	13.975	0.000	0.000
MSTRG.20527.4	27.763	13.096	10.295	27.811	75.735	0.000
KWMTBOMO04186.mrna1	40.326	44.609	27.315	16.855	6.056	28.613
MSTRG.20526.7	12.230	11.880	0.000	0.000	0.000	14.607
MSTRG.20528.1	107.023	354.100	200.375	457.728	544.882	430.378
MSTRG.20528.2	269.533	170.032	179.000	544.913	521.659	268.885
KWMTBOMO04187.mrna1	280.009	286.606	305.192	637.034	677.578	459.138
MSTRG.20529.1	279.992	264.257	404.576	608.456	787.245	459.096
MSTRG.20529.2	0.000	71.878	98.358	184.131	170.585	28.604
MSTRG.20529.3	53.285	43.947	139.917	0.000	0.000	0.000
MSTRG.20529.4	665.385	720.115	562.132	469.706	299.039	399.923
KWMTBOMO04188.mrna1	0.000	0.000	0.000	0.000	0.000	6.780
KWMTBOMO04189.mrna1	0.000	1.060	0.000	1.098	1.036	0.000
MSTRG.20530.2	3.636	0.000	0.000	0.000	1.087	0.000
MSTRG.20530.3	14.235	24.619	23.987	34.194	28.407	20.276
KWMTBOMO04190.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20531.1	6.932	7.378	5.203	8.146	9.508	1.006
KWMTBOMO04191.mrna1	1.000	5.000	2.000	6.000	3.000	8.000
MSTRG.20522.2	1.000	3.000	1.000	5.000	4.000	7.637
MSTRG.20523.1	25.363	11.928	20.007	60.815	74.396	38.700
KWMTBOMO04192.mrna1	10.567	8.075	0.000	6.448	7.889	2.327
KWMTBOMO04193.mrna1	3.000	1.000	2.000	2.000	5.000	2.000
MSTRG.20532.1	43.781	41.236	95.817	261.946	453.940	213.678
MSTRG.20532.2	72.817	85.724	82.182	721.200	523.068	442.533
KWMTBOMO04194.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04195.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04196.mrna1	0.000	0.000	0.000	0.000	27.873	30.115
KWMTBOMO04197.mrna1	0.000	13.883	0.000	93.914	65.474	51.951
KWMTBOMO04198.mrna1	6.000	12.000	7.000	3.000	9.000	4.000
MSTRG.20525.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04199.mrna1	86.000	78.533	80.565	0.000	1.000	0.000
MSTRG.20534.1	461.088	437.066	473.748	449.334	537.276	327.258
KWMTBOMO04200.mrna1	70.292	66.076	85.206	113.837	80.529	93.742
